row_1,row_2,similarity,text_1,text_2
131,169,1.0,Sunrise Clinic Delhi,sunrise clinic Delhi
172,290,1.0,fortis hospital Mumbai,fortis hospital Mumbai
283,41,100.0,aiims Mumbai,AIIMS Mumbai
14,148,1.0,Fortis Hospital Pune,fortis hospital Pune
94,34,100.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
115,96,100.0,city hospital Mumbai,city hospital Mumbai
5,99,1.0,Sunrise Clinic Pune,sunrise clinic Pune
255,55,100.0,Fortis Hospital Mumbai,Fortis Hosp Mumbai
5,233,1.0,Sunrise Clinic Pune,sunrise clinic Pune
9,69,1.0,fortis hospital Mumbai,fortis hospital Mumbai
174,1,100.0,apollo hospital Bangalore,Apollo Hosp Bangalore
256,143,100.0,Sunrise Clinic Mumbai,sunrise clinic Mumbai
108,241,1.0,Sunrise Clinic Mumbai,Sunrise Clinic Mumbai
57,164,1.0,Fortis Hospital Delhi,fortis hospital Delhi
151,85,100.0,City Hospital Delhi,City Hospital Delhi
25,52,100.0,aiims Bangalore,aiims Bangalore
119,285,1.0,Sunrise Clinic Bangalore,Sunrise Clinic Bangalore
182,197,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
233,249,1.0,sunrise clinic Pune,Sunrise Clinic Pune
212,237,1.0,city hospital Mumbai,city hospital Mumbai
56,127,1.0,AIIMS Pune,AIIMS Pune
33,39,100.0,city hospital Bangalore,City Hospital Bangalore
81,0,100.0,sunrise clinic Bangalore,Sunrise Clinic Bangalore
193,232,1.0,AIIMS Bangalore,aiims Bangalore
113,215,1.0,Fortis Hospital Delhi,fortis hospital Delhi
62,138,1.0,AIIMS Delhi,AIIMS Delhi
178,206,1.0,Fortis Hosp Bangalore,Fortis Hospital Bangalore
15,131,1.0,Sunrise Clinic Delhi,Sunrise Clinic Delhi
296,56,100.0,AIIMS Pune,AIIMS Pune
223,54,100.0,AIIMS Pune,AIIMS Pune
131,15,100.0,Sunrise Clinic Delhi,Sunrise Clinic Delhi
263,112,100.0,AIIMS Mumbai,aiims Mumbai
207,255,1.0,Fortis Hosp Mumbai,Fortis Hospital Mumbai
8,220,1.0,Apollo Hospital Bangalore,Apollo Hosp Bangalore
102,197,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
134,178,1.0,Fortis Hospital Bangalore,Fortis Hosp Bangalore
90,100,1.0,aiims Pune,aiims Pune
143,256,1.0,sunrise clinic Mumbai,Sunrise Clinic Mumbai
244,260,1.0,Apollo Hospital Pune,Apollo Hosp Pune
87,115,100.0,City Hospital Mumbai,city hospital Mumbai
94,170,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
257,270,1.0,Fortis Hosp Pune,Fortis Hospital Pune
41,205,1.0,AIIMS Mumbai,AIIMS Mumbai
294,3,100.0,City Hospital Bangalore,City Hospital Bangalore
132,19,100.0,aiims Pune,AIIMS Pune
172,271,1.0,fortis hospital Mumbai,fortis hospital Mumbai
60,192,100.0,apollo hospital Pune,Apollo Hosp Pune
16,39,100.0,City Hospital Bangalore,City Hospital Bangalore
116,174,1.0,apollo hospital Bangalore,apollo hospital Bangalore
65,97,1.0,Sunrise Clinic Bangalore,sunrise clinic Bangalore
221,223,1.0,AIIMS Pune,AIIMS Pune
194,275,1.0,aiims Pune,AIIMS Pune
181,290,1.0,Fortis Hosp Mumbai,fortis hospital Mumbai
57,61,1.0,Fortis Hospital Delhi,fortis hospital Delhi
246,112,100.0,AIIMS Mumbai,aiims Mumbai
118,141,1.0,Fortis Hosp Bangalore,Fortis Hosp Bangalore
115,212,1.0,city hospital Mumbai,city hospital Mumbai
158,199,1.0,Apollo Hospital Mumbai,Apollo Hospital Mumbai
187,8,100.0,apollo hospital Bangalore,Apollo Hospital Bangalore
90,130,1.0,aiims Pune,aiims Pune
43,66,1.0000000000000002,City Hospital Pune,city hospital Pune
45,33,100.0,city hospital Bangalore,city hospital Bangalore
40,194,1.0,aiims Pune,aiims Pune
294,33,100.0,City Hospital Bangalore,city hospital Bangalore
68,12,100.0,Fortis Hospital Delhi,Fortis Hosp Delhi
188,211,1.0000000000000002,City Hospital Bangalore,City Hosp Bangalore
107,201,1.0,Apollo Hosp Bangalore,Apollo Hospital Bangalore
10,267,1.0,fortis hospital Mumbai,Fortis Hospital Mumbai
209,12,100.0,fortis hospital Delhi,Fortis Hosp Delhi
149,185,1.0,Fortis Hosp Bangalore,Fortis Hosp Bangalore
29,263,1.0,AIIMS Mumbai,AIIMS Mumbai
126,150,1.0000000000000002,city hospital Pune,City Hosp Pune
140,270,1.0,Fortis Hosp Pune,Fortis Hospital Pune
67,93,1.0,Apollo Hosp Bangalore,Apollo Hospital Bangalore
87,96,100.0,City Hospital Mumbai,city hospital Mumbai
118,27,100.0,Fortis Hosp Bangalore,Fortis Hosp Bangalore
108,214,1.0,Sunrise Clinic Mumbai,sunrise clinic Mumbai
8,251,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
248,30,100.0,apollo hospital Mumbai,apollo hospital Mumbai
3,171,1.0000000000000002,City Hospital Bangalore,City Hospital Bangalore
91,113,1.0,Fortis Hosp Delhi,Fortis Hospital Delhi
228,143,100.0,sunrise clinic Mumbai,sunrise clinic Mumbai
57,91,1.0,Fortis Hospital Delhi,Fortis Hosp Delhi
